id,cliente_id,data_pedido,prazo_entrega,valor
144,30,2026-01-12,2026-01-15,2090.18
145,13,2025-12-22,2025-12-25,2133.36
146,289,2026-04-28,2026-05-01,3478.84
147,208,2025-09-22,2025-09-25,4017.70
148,252,2025-05-10,2025-05-13,1913.49
149,240,2025-04-10,2025-04-13,1206.70
150,3,2026-04-17,2026-04-20,3109.98
151,39,2025-09-18,2025-09-21,1551.08
152,79,2026-02-18,2026-02-21,1049.78
153,24,2025-02-12,2025-02-15,888.69
154,165,2025-02-06,2025-02-09,890.98
155,236,2025-08-11,2025-08-14,643.17
156,203,2025-09-13,2025-09-16,384.58
157,105,2025-07-21,2025-07-24,1336.16
158,89,2025-08-06,2025-08-09,1423.46
159,112,2025-11-24,2025-11-27,282.78
160,268,2025-04-24,2025-04-27,4566.08
161,120,2025-01-17,2025-01-20,2050.92
162,53,2026-02-02,2026-02-05,911.69
163,67,2025-02-15,2025-02-18,4683.35
164,32,2025-08-20,2025-08-23,2015.98
165,137,2026-06-12,2026-06-15,868.00
166,13,2025-01-25,2025-01-28,2173.86
167,124,2025-06-30,2025-07-03,911.69
168,297,2025-07-12,2025-07-15,4521.70
169,257,2025-11-11,2025-11-14,3199.87
170,155,2025-10-20,2025-10-23,3247.62
171,23,2026-03-12,2026-03-15,1585.51
172,127,2025-10-07,2025-10-10,3736.89
173,1,2025-09-08,2025-09-11,3706.11
174,195,2025-05-09,2025-05-12,2358.72
175,12,2025-09-17,2025-09-20,4205.50
176,37,2025-09-18,2025-09-21,1813.77
177,199,2025-09-15,2025-09-18,2752.93
178,20,2025-04-25,2025-04-28,1199.71
179,157,2025-02-05,2025-02-08,571.58
180,123,2025-01-24,2025-01-27,631.22
181,247,2026-05-14,2026-05-17,2588.51
182,174,2025-01-24,2025-01-27,1010.38
183,123,2026-01-01,2026-01-04,2060.38
184,118,2026-05-09,2026-05-12,480.99
185,100,2026-01-13,2026-01-16,1312.90
186,209,2025-02-18,2025-02-21,3991.06
187,46,2025-01-04,2025-01-07,2488.19
188,238,2025-02-05,2025-02-08,880.30
189,186,2025-09-02,2025-09-05,3865.68
190,267,2026-04-20,2026-04-23,2585.90
191,143,2025-07-02,2025-07-05,4827.25
192,58,2026-03-11,2026-03-14,2874.47
193,182,2026-01-12,2026-01-15,935.10
194,222,2025-01-13,2025-01-16,1144.59
195,192,2026-01-09,2026-01-12,987.52
196,149,2025-01-11,2025-01-14,3535.40
197,56,2026-05-06,2026-05-09,4636.44
198,230,2025-10-15,2025-10-18,1282.56
199,182,2025-03-19,2025-03-22,525.40
200,215,2025-06-30,2025-07-03,4516.59
201,98,2025-02-04,2025-02-07,479.61
202,125,2026-02-13,2026-02-16,4848.94
203,152,2026-05-30,2026-06-02,1283.43
204,265,2025-08-19,2025-08-22,226.71
205,171,2026-03-26,2026-03-29,2615.94
206,138,2026-02-20,2026-02-23,4539.95
207,228,2025-10-17,2025-10-20,2726.59
208,52,2025-07-12,2025-07-15,4687.42
209,151,2026-02-05,2026-02-08,2088.98
210,165,2025-07-08,2025-07-11,283.31
211,257,2026-01-17,2026-01-20,2519.84
212,300,2025-06-10,2025-06-13,3363.73
213,138,2025-09-27,2025-09-30,3441.46
214,80,2026-05-11,2026-05-14,4456.21
215,258,2025-08-22,2025-08-25,4615.33
216,228,2025-10-04,2025-10-07,356.87
217,223,2025-09-06,2025-09-09,4367.08
218,214,2026-05-30,2026-06-02,3794.81
219,112,2026-05-18,2026-05-21,476.56
220,141,2026-06-05,2026-06-08,4198.88
221,34,2025-01-01,2025-01-04,1524.35
222,21,2025-11-13,2025-11-16,3880.28
223,271,2025-07-17,2025-07-20,4379.46
224,177,2026-03-25,2026-03-28,4744.62
225,267,2026-06-24,2026-06-27,4852.19
226,210,2025-08-11,2025-08-14,4831.41
227,185,2026-03-14,2026-03-17,1120.51
228,61,2026-03-12,2026-03-15,2847.49
229,41,2026-01-21,2026-01-24,4635.39
230,22,2025-07-16,2025-07-19,244.49
231,207,2025-08-19,2025-08-22,4521.87
232,85,2025-05-31,2025-06-03,2172.09
233,185,2025-02-10,2025-02-13,3721.44
234,132,2026-04-02,2026-04-05,258.87
235,299,2025-04-01,2025-04-04,2107.79
236,201,2025-12-08,2025-12-11,4439.18
237,187,2025-08-22,2025-08-25,839.16
238,58,2025-09-15,2025-09-18,555.56
239,265,2026-05-06,2026-05-09,3624.38
240,280,2025-12-27,2025-12-30,2333.66
241,246,2026-04-18,2026-04-21,1790.28
242,74,2025-12-02,2025-12-05,261.55
243,240,2025-03-10,2025-03-13,3818.72
244,250,2026-01-14,2026-01-17,3886.78
245,45,2025-02-17,2025-02-20,4632.88
246,273,2025-01-16,2025-01-19,3942.30
247,103,2026-04-28,2026-05-01,2988.52
248,129,2025-09-19,2025-09-22,4614.01
249,113,2025-12-08,2025-12-11,3084.94
250,211,2025-04-02,2025-04-05,4389.71
251,135,2025-02-11,2025-02-14,2371.99
252,80,2026-01-22,2026-01-25,1280.81
253,139,2025-11-11,2025-11-14,3829.47
254,6,2025-02-22,2025-02-25,3010.42
255,147,2026-04-15,2026-04-18,982.53
256,104,2025-04-21,2025-04-24,2830.76
257,180,2026-01-06,2026-01-09,3215.23
258,36,2026-06-18,2026-06-21,3420.63
259,295,2026-02-03,2026-02-06,3905.13
260,23,2025-03-05,2025-03-08,4464.75
261,52,2026-02-16,2026-02-19,1271.76
262,79,2025-07-18,2025-07-21,1745.25
263,34,2025-04-26,2025-04-29,1022.75
264,297,2026-01-15,2026-01-18,2613.40
265,210,2025-12-02,2025-12-05,2215.42
266,27,2025-01-10,2025-01-13,4763.22
267,177,2025-02-03,2025-02-06,2141.19
268,250,2025-06-12,2025-06-15,2592.75
269,261,2026-01-30,2026-02-02,2978.71
270,27,2026-01-05,2026-01-08,3286.65
271,112,2026-01-03,2026-01-06,4978.81
272,163,2025-01-03,2025-01-06,1625.90
273,114,2025-08-08,2025-08-11,2172.40
274,272,2025-10-28,2025-10-31,4852.31
275,198,2025-11-22,2025-11-25,1743.62
276,148,2025-10-28,2025-10-31,1629.49
277,243,2026-05-19,2026-05-22,3648.44
278,189,2025-01-21,2025-01-24,1137.35
279,203,2025-06-24,2025-06-27,1979.62
280,87,2026-05-18,2026-05-21,2562.49
281,155,2025-07-09,2025-07-12,2339.25
282,277,2026-05-09,2026-05-12,2134.04
283,264,2025-04-15,2025-04-18,4178.20
284,6,2025-07-09,2025-07-12,2830.00
285,238,2025-05-09,2025-05-12,3804.87
286,42,2025-01-04,2025-01-07,3412.20
287,77,2026-04-20,2026-04-23,1016.87
288,104,2025-08-11,2025-08-14,4019.73
289,249,2025-01-08,2025-01-11,480.28
290,266,2025-12-11,2025-12-14,4855.18
291,157,2025-11-25,2025-11-28,1825.02
292,279,2025-02-03,2025-02-06,2361.70
293,279,2025-07-05,2025-07-08,2148.61
294,221,2025-08-29,2025-09-01,272.49
295,15,2025-07-10,2025-07-13,3001.54
296,226,2025-10-09,2025-10-12,859.28
297,293,2026-03-20,2026-03-23,1818.69
298,83,2026-04-03,2026-04-06,4770.67
299,268,2025-03-14,2025-03-17,3309.39
300,22,2026-01-14,2026-01-17,3358.31
301,216,2025-01-08,2025-01-11,4179.55
302,266,2026-02-17,2026-02-20,584.73
303,265,2025-04-18,2025-04-21,3324.78
304,284,2026-03-28,2026-03-31,3997.20
305,200,2025-10-08,2025-10-11,1542.00
306,68,2025-09-06,2025-09-09,327.71
307,295,2025-01-01,2025-01-04,1193.18
308,175,2026-05-20,2026-05-23,4162.20
309,273,2026-03-03,2026-03-06,626.01
310,101,2025-06-26,2025-06-29,2832.43
311,124,2025-01-16,2025-01-19,4654.45
312,125,2025-10-11,2025-10-14,1804.94
313,251,2026-04-07,2026-04-10,2820.10
314,262,2025-09-29,2025-10-02,3521.66
315,118,2026-06-16,2026-06-19,2527.67
316,145,2025-12-18,2025-12-21,1595.52
317,67,2025-03-15,2025-03-18,4526.50
318,262,2025-10-10,2025-10-13,4799.89
319,284,2025-09-23,2025-09-26,236.21
320,264,2025-07-07,2025-07-10,4539.30
321,73,2026-02-11,2026-02-14,4953.81
322,81,2026-01-29,2026-02-01,4930.62
323,114,2025-01-03,2025-01-06,1140.88
324,39,2025-03-15,2025-03-18,3205.87
325,120,2025-05-24,2025-05-27,1302.78
326,113,2026-04-04,2026-04-07,3686.53
327,31,2025-04-02,2025-04-05,4930.21
328,80,2025-03-12,2025-03-15,750.29
329,15,2025-09-17,2025-09-20,3987.51
330,19,2025-02-20,2025-02-23,3437.49
331,180,2025-03-05,2025-03-08,1697.19
332,65,2026-05-18,2026-05-21,4342.34
333,72,2025-08-21,2025-08-24,1201.09
334,298,2026-02-16,2026-02-19,4318.70
335,18,2025-04-11,2025-04-14,1467.98
336,21,2025-12-30,2026-01-02,478.50
337,84,2025-03-01,2025-03-04,2865.05
338,31,2025-09-19,2025-09-22,3295.77
339,31,2025-06-21,2025-06-24,4854.47
340,99,2025-02-27,2025-03-02,4886.84
341,240,2026-04-29,2026-05-02,1915.93
342,165,2026-03-19,2026-03-22,4617.23
343,131,2025-05-09,2025-05-12,3112.68
344,242,2026-04-10,2026-04-13,3347.71
345,140,2025-05-31,2025-06-03,3156.18
346,56,2025-04-01,2025-04-04,4218.60
347,185,2025-05-28,2025-05-31,4651.78
348,144,2025-04-29,2025-05-02,543.32
349,125,2026-06-03,2026-06-06,2971.65
350,134,2025-03-25,2025-03-28,751.68
351,230,2026-05-16,2026-05-19,336.46
352,207,2026-05-27,2026-05-30,2755.95
353,219,2025-07-02,2025-07-05,352.95
354,81,2026-03-20,2026-03-23,4188.28
355,172,2025-10-06,2025-10-09,1906.26
356,272,2026-05-02,2026-05-05,4882.69
357,272,2025-11-03,2025-11-06,3217.39
358,231,2025-03-14,2025-03-17,559.08
359,67,2026-02-20,2026-02-23,2232.12
360,155,2025-12-26,2025-12-29,1156.06
361,216,2025-04-25,2025-04-28,4220.36
362,149,2025-06-21,2025-06-24,1400.10
363,250,2025-12-18,2025-12-21,4915.85
364,192,2025-06-06,2025-06-09,625.31
365,64,2025-06-20,2025-06-23,2757.16
366,273,2025-09-25,2025-09-28,4971.96
367,61,2025-09-26,2025-09-29,4330.71
368,147,2025-09-13,2025-09-16,1662.30
369,10,2025-05-21,2025-05-24,4780.90
370,128,2025-02-10,2025-02-13,2959.16
371,201,2026-04-15,2026-04-18,1864.79
372,1,2025-04-05,2025-04-08,2537.70
373,101,2025-10-14,2025-10-17,3367.73
374,80,2025-01-22,2025-01-25,2733.27
375,271,2025-09-22,2025-09-25,4909.15
376,22,2026-01-30,2026-02-02,3287.80
377,226,2025-10-31,2025-11-03,2478.80
378,270,2025-11-25,2025-11-28,458.96
379,89,2025-02-12,2025-02-15,1957.69
380,24,2026-03-06,2026-03-09,3040.10
381,7,2025-02-08,2025-02-11,518.26
382,53,2025-11-26,2025-11-29,4831.93
383,175,2025-11-05,2025-11-08,3488.21
384,266,2026-03-02,2026-03-05,1262.96
385,131,2025-05-03,2025-05-06,560.66
386,143,2026-05-20,2026-05-23,4910.85
387,231,2025-08-27,2025-08-30,3087.58
388,123,2025-08-15,2025-08-18,1212.65
389,190,2025-08-04,2025-08-07,604.67
390,299,2026-06-12,2026-06-15,1477.19
391,137,2026-06-03,2026-06-06,3620.03
392,297,2025-06-28,2025-07-01,3083.10
393,159,2025-11-01,2025-11-04,3688.91
394,174,2025-06-20,2025-06-23,3485.65
395,137,2026-05-20,2026-05-23,2658.64
396,236,2025-01-28,2025-01-31,4138.76
397,261,2025-08-20,2025-08-23,2707.48
398,151,2025-02-26,2025-03-01,1888.31
399,130,2025-07-22,2025-07-25,4552.73
400,132,2025-03-15,2025-03-18,4893.91
401,181,2025-11-29,2025-12-02,449.33
402,44,2025-08-20,2025-08-23,597.49
403,291,2026-04-10,2026-04-13,332.57
404,140,2026-01-24,2026-01-27,1393.69
405,218,2026-06-19,2026-06-22,3136.38
406,255,2025-03-08,2025-03-11,1293.98
407,5,2025-09-19,2025-09-22,2039.42
408,189,2026-06-06,2026-06-09,4954.54
409,55,2026-02-24,2026-02-27,2543.03
410,157,2025-12-08,2025-12-11,1784.05
411,218,2026-02-07,2026-02-10,3556.17
412,17,2025-01-25,2025-01-28,1359.34
413,226,2025-08-25,2025-08-28,2347.72
414,5,2025-12-24,2025-12-27,3820.46
415,50,2025-06-20,2025-06-23,604.58
416,153,2026-05-19,2026-05-22,3571.09
417,16,2026-04-01,2026-04-04,1494.75
418,91,2025-06-18,2025-06-21,3346.32
419,49,2025-03-05,2025-03-08,352.81
420,91,2026-06-23,2026-06-26,209.93
421,207,2025-03-18,2025-03-21,4535.44
422,234,2025-08-18,2025-08-21,3295.85
423,292,2025-12-02,2025-12-05,1366.82
424,233,2025-03-24,2025-03-27,2967.95
425,93,2025-09-16,2025-09-19,4023.70
426,47,2025-01-25,2025-01-28,3745.98
427,113,2025-03-28,2025-03-31,4167.51
428,246,2025-10-03,2025-10-06,716.98
429,274,2025-04-22,2025-04-25,3688.81
430,92,2025-07-16,2025-07-19,575.15
431,26,2026-02-13,2026-02-16,3527.74
432,105,2025-10-16,2025-10-19,1234.92
433,239,2025-01-24,2025-01-27,2457.80
434,261,2025-01-13,2025-01-16,4113.26
435,223,2025-05-28,2025-05-31,3015.20
436,61,2026-03-11,2026-03-14,4744.62
437,175,2025-03-08,2025-03-11,1727.38
438,211,2026-02-25,2026-02-28,4580.29
439,85,2025-12-05,2025-12-08,2642.59
440,288,2025-03-14,2025-03-17,1213.60
441,11,2026-05-21,2026-05-24,1305.24
442,53,2025-10-16,2025-10-19,2431.45
443,46,2025-06-14,2025-06-17,3990.80
444,193,2025-11-24,2025-11-27,3087.99
445,113,2025-03-15,2025-03-18,4471.06
446,178,2026-06-10,2026-06-13,4829.42
447,263,2026-04-27,2026-04-30,2696.38
448,134,2025-06-23,2025-06-26,3703.37
449,37,2025-06-05,2025-06-08,1020.71
450,85,2026-02-04,2026-02-07,1758.89
451,199,2025-01-17,2025-01-20,1753.94
452,6,2025-01-28,2025-01-31,1132.38
453,213,2026-01-08,2026-01-11,4276.13
454,137,2026-05-23,2026-05-26,4128.80
455,97,2025-03-22,2025-03-25,4335.31
456,44,2025-06-17,2025-06-20,3268.57
457,111,2026-01-29,2026-02-01,1567.64
458,227,2025-08-27,2025-08-30,1896.21
459,234,2025-01-23,2025-01-26,4927.79
460,154,2025-12-10,2025-12-13,845.07
461,274,2025-12-02,2025-12-05,2696.88
462,31,2026-03-11,2026-03-14,370.15
463,248,2025-06-12,2025-06-15,3868.29
464,264,2026-05-28,2026-05-31,4268.04
465,188,2025-08-22,2025-08-25,853.27
466,222,2026-01-09,2026-01-12,3926.98
467,108,2025-05-06,2025-05-09,4150.44
468,121,2026-02-20,2026-02-23,2475.12
469,248,2025-08-14,2025-08-17,2566.22
470,216,2025-09-03,2025-09-06,575.01
471,117,2025-01-23,2025-01-26,2718.63
472,28,2025-05-05,2025-05-08,4863.43
473,6,2025-04-21,2025-04-24,883.37
474,172,2026-04-01,2026-04-04,2487.24
475,60,2025-12-30,2026-01-02,2336.78
476,120,2025-08-18,2025-08-21,608.54
477,35,2025-04-05,2025-04-08,2360.88
478,289,2026-05-11,2026-05-14,4022.99
479,276,2025-12-22,2025-12-25,2506.52
480,55,2026-03-24,2026-03-27,532.59
481,100,2025-01-16,2025-01-19,3656.20
482,71,2026-06-19,2026-06-22,3992.71
483,239,2026-02-25,2026-02-28,4773.97
484,174,2025-02-21,2025-02-24,2328.77
485,100,2025-09-09,2025-09-12,2304.28
486,38,2025-09-22,2025-09-25,4178.99
487,251,2025-09-30,2025-10-03,2560.17
488,51,2026-02-06,2026-02-09,2976.09
489,195,2025-05-22,2025-05-25,2772.91
490,215,2025-10-31,2025-11-03,4544.06
491,216,2025-08-23,2025-08-26,1114.35
492,227,2026-05-18,2026-05-21,821.91
493,60,2026-01-29,2026-02-01,1400.06
494,224,2025-07-01,2025-07-04,2483.37
495,88,2025-05-17,2025-05-20,4117.63
496,191,2026-02-21,2026-02-24,4990.59
497,112,2025-10-14,2025-10-17,4242.28
498,88,2025-12-29,2026-01-01,1177.57
499,279,2025-03-14,2025-03-17,1313.64
500,288,2025-03-07,2025-03-10,696.15
501,222,2026-04-04,2026-04-07,3104.46
502,62,2025-10-16,2025-10-19,1090.73
503,191,2026-03-28,2026-03-31,2447.98
504,46,2026-04-25,2026-04-28,815.12
505,254,2026-01-14,2026-01-17,4859.79
506,90,2025-02-12,2025-02-15,1382.04
507,101,2025-08-12,2025-08-15,858.01
508,207,2025-01-11,2025-01-14,2494.56
509,12,2025-11-12,2025-11-15,4049.03
510,131,2026-02-20,2026-02-23,1729.77
511,51,2026-02-28,2026-03-03,3809.73
512,85,2025-02-12,2025-02-15,3492.90
513,163,2025-05-24,2025-05-27,3910.85
514,228,2025-08-18,2025-08-21,2426.61
515,241,2025-03-03,2025-03-06,2956.38
516,76,2025-03-13,2025-03-16,875.63
517,8,2026-03-31,2026-04-03,4789.53
518,204,2025-02-27,2025-03-02,1087.85
519,75,2026-03-26,2026-03-29,1689.66
520,254,2025-03-14,2025-03-17,2811.02
521,155,2025-10-30,2025-11-02,1085.83
522,126,2026-05-04,2026-05-07,2124.52
523,197,2026-03-25,2026-03-28,815.86
524,182,2025-12-03,2025-12-06,924.36
525,50,2025-04-28,2025-05-01,3956.26
526,114,2026-04-28,2026-05-01,2019.15
527,238,2025-08-04,2025-08-07,1242.43
528,5,2026-03-31,2026-04-03,3867.87
529,1,2026-01-10,2026-01-13,3971.39
530,193,2025-12-05,2025-12-08,2853.29
531,126,2026-05-23,2026-05-26,2843.87
532,118,2025-09-27,2025-09-30,398.57
533,45,2026-01-22,2026-01-25,660.40
534,1,2025-12-15,2025-12-18,2437.40
535,82,2025-06-20,2025-06-23,4289.67
536,172,2025-06-11,2025-06-14,507.25
537,84,2025-07-19,2025-07-22,4884.50
538,89,2026-06-12,2026-06-15,3806.39
539,176,2026-05-26,2026-05-29,2071.84
540,24,2026-04-18,2026-04-21,4394.94
541,63,2025-05-15,2025-05-18,2262.19
542,45,2025-03-20,2025-03-23,4700.44
543,219,2025-08-11,2025-08-14,271.56
544,141,2025-12-13,2025-12-16,4148.80
545,2,2026-06-10,2026-06-13,2789.10
546,242,2025-04-25,2025-04-28,1022.54
547,152,2025-07-24,2025-07-27,678.72
548,16,2025-04-03,2025-04-06,1974.52
549,31,2026-05-13,2026-05-16,3061.45
550,75,2026-03-05,2026-03-08,2424.65
551,94,2025-01-27,2025-01-30,2634.75
552,206,2025-02-04,2025-02-07,3422.00
553,247,2025-02-03,2025-02-06,350.43
554,147,2026-02-18,2026-02-21,260.51
555,108,2026-04-20,2026-04-23,2492.31
556,16,2025-06-20,2025-06-23,431.22
557,105,2025-08-26,2025-08-29,1041.39
558,253,2025-08-04,2025-08-07,2489.72
559,270,2026-02-21,2026-02-24,969.57
560,51,2025-11-20,2025-11-23,1899.17
561,153,2026-01-01,2026-01-04,963.29
562,4,2025-01-08,2025-01-11,2259.98
563,145,2026-03-11,2026-03-14,3159.27
564,69,2025-06-19,2025-06-22,3483.46
565,211,2025-04-23,2025-04-26,2051.67
566,39,2026-06-22,2026-06-25,3726.43
567,292,2026-04-21,2026-04-24,3703.14
568,42,2025-06-19,2025-06-22,3805.63
569,237,2025-06-18,2025-06-21,1936.67
570,194,2025-06-21,2025-06-24,4547.48
571,87,2025-03-29,2025-04-01,485.70
572,164,2026-05-29,2026-06-01,958.91
573,134,2025-01-14,2025-01-17,794.54
574,123,2025-10-27,2025-10-30,3321.70
575,274,2025-11-12,2025-11-15,1967.98
576,2,2025-05-08,2025-05-11,3682.73
577,8,2026-03-13,2026-03-16,1777.30
578,80,2025-02-27,2025-03-02,3015.06
579,103,2026-02-25,2026-02-28,2926.05
580,274,2026-06-05,2026-06-08,3284.62
581,183,2025-06-27,2025-06-30,1023.93
582,84,2025-05-03,2025-05-06,4814.57
583,158,2025-03-18,2025-03-21,3075.81
584,85,2025-03-01,2025-03-04,773.73
585,48,2025-11-14,2025-11-17,237.31
586,234,2025-01-11,2025-01-14,4941.06
587,142,2026-05-04,2026-05-07,238.43
588,124,2025-01-27,2025-01-30,1956.20
589,50,2025-08-02,2025-08-05,961.75
590,42,2025-07-31,2025-08-03,3244.47
591,89,2025-09-04,2025-09-07,1597.77
592,23,2025-07-30,2025-08-02,2555.39
593,298,2025-03-11,2025-03-14,4253.61
594,183,2025-04-14,2025-04-17,3979.10
595,254,2025-10-15,2025-10-18,1680.26
596,203,2025-06-24,2025-06-27,2945.05
597,136,2025-11-14,2025-11-17,2082.92
598,37,2025-06-13,2025-06-16,4224.94
599,234,2025-02-28,2025-03-03,1732.31
600,141,2026-03-04,2026-03-07,2799.46
601,222,2025-10-28,2025-10-31,4709.37
602,68,2026-02-12,2026-02-15,1282.81
603,195,2025-11-28,2025-12-01,989.78
604,145,2025-02-22,2025-02-25,685.52
605,2,2026-06-11,2026-06-14,4210.89
606,245,2025-03-10,2025-03-13,3933.72
607,141,2026-04-13,2026-04-16,452.93
608,59,2025-07-02,2025-07-05,827.70
609,161,2025-10-04,2025-10-07,1653.62
610,255,2025-11-27,2025-11-30,3143.45
611,90,2025-08-07,2025-08-10,2546.62
